Series Name,Series Code,Country Name,Country Code,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Change
"Population, total",SP.POP.TOTL,Afghanistan,AFG,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462,41128771,9587562
"Population, total",SP.POP.TOTL,Albania,ALB,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2777689,-117403
"Population, total",SP.POP.TOTL,Algeria,DZA,38000626,38760168,39543154,40339329,41136546,41927007,42705368,43451666,44177969,44903225,6902599
"Population, total",SP.POP.TOTL,American Samoa,ASM,52995,52217,51368,50448,49463,48424,47321,46189,45035,44273,-8722
"Population, total",SP.POP.TOTL,Andorra,AND,71367,71621,71746,72540,73837,75013,76343,77700,79034,79824,8457
"Population, total",SP.POP.TOTL,Angola,AGO,26147002,27128337,28127721,29154746,30208628,31273533,32353588,33428486,34503774,35588987,9441985
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,88497,89236,89941,90564,91119,91626,92117,92664,93219,93763,5266
"Population, total",SP.POP.TOTL,Argentina,ARG,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763,45808747,46234830,4031895
"Population, total",SP.POP.TOTL,Armenia,ARM,2901385,2889930,2878595,2865835,2851923,2836557,2820602,2805608,2790974,2780469,-120916
"Population, total",SP.POP.TOTL,Aruba,ABW,102880,103594,104257,104874,105439,105962,106442,106585,106537,106445,3565
"Population, total",SP.POP.TOTL,Australia,AUS,23128129,23475686,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26005540,2877411
"Population, total",SP.POP.TOTL,Austria,AUT,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9041851,562028
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10137750,10141756,724955
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,385650,389131,392697,395976,399020,401906,404557,406471,407906,409984,24334
"Population, total",SP.POP.TOTL,Bahrain,BHR,1261673,1311134,1362142,1409661,1456834,1487340,1494188,1477469,1463265,1472233,210560
"Population, total",SP.POP.TOTL,Bangladesh,BGD,154030139,155961299,157830000,159784568,161793964,163683958,165516222,167420951,169356251,171186372,17156233
"Population, total",SP.POP.TOTL,Barbados,BRB,276865,277493,278083,278649,279187,279688,280180,280693,281200,281635,4770
"Population, total",SP.POP.TOTL,Belarus,BLR,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9302585,9228071,-215140
"Population, total",SP.POP.TOTL,Belgium,BEL,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11538604,11586195,11685814,526407
"Population, total",SP.POP.TOTL,Belize,BLZ,344688,352335,359871,367313,374693,382066,389095,394921,400031,405272,60584
"Population, total",SP.POP.TOTL,Benin,BEN,10308730,10614844,10932783,11260085,11596779,11940683,12290444,12643123,12996895,13352864,3044134
"Population, total",SP.POP.TOTL,Bermuda,BMU,65001,65138,65237,64554,63873,63918,63911,63893,63764,63532,-1469
"Population, total",SP.POP.TOTL,Bhutan,BTN,728889,736357,743274,749761,756121,762096,767459,772506,777486,782455,53566
"Population, total",SP.POP.TOTL,Bolivia,BOL,10743349,10916987,11090085,11263015,11435533,11606905,11777315,11936162,12079472,12224110,1480761
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3617559,3571068,3524324,3480986,3440027,3400129,3360711,3318407,3270943,3233526,-384033
"Population, total",SP.POP.TOTL,Botswana,BWA,2217278,2260376,2305171,2352416,2401840,2451409,2499702,2546402,2588423,2630296,413018
"Population, total",SP.POP.TOTL,Brazil,BRA,201721767,203459650,205188205,206859578,208504960,210166592,211782878,213196304,214326223,215313498,13591731
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,28657,28971,29366,29739,30060,30335,30610,30910,31122,31305,2648
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,411702,416656,421437,425994,430276,434274,438048,441725,445373,449002,37300
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7265115,7223938,7177991,7127822,7075947,7025037,6975761,6934015,6877743,6465097,-800018
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,17636408,18169842,18718019,19275498,19835858,20392723,20951639,21522626,22100683,22673762,5037354
